input_text,product,quantity,price_satuan,pattern
mau indomie goreng mix cekerbakso mercon jumlahnya 3 dong [SEP] siap kak indomie goreng mix cekerbakso mercon 36 ribu per porsi total 108rb ya,indomie goreng mix cekerbakso mercon,3,36000,2
pesen soes coklat nya 1 porsi ya [SEP] oke noted,soes coklat,1,-1,2
8 indomie mamak spesial otako dong [SEP] siap indomie mamak spesial otako rp 12.000 totalnya 96 ribu kak,indomie mamak spesial otako,8,12000,1
mas mau pesen 1 susu aren dong [SEP] baik kak susu aren rp 57.000 satuan totalnya 57rb,susu aren,1,57000,2
es teh nusantara medium 6 bungkus ya bg [SEP] siap es teh nusantara medium 50 ribu totalnya rp 300.000 kak,es teh nusantara medium,6,50000,2
kak mau order 2 kacang tojin toples kecil ya kak [SEP] siap kak kacang tojin toples kecil 17.000 per porsi total 34rb ya,kacang tojin toples kecil,2,17000,1
minta 9 matcha purin ya kak [SEP] oke noted,matcha purin,9,-1,2
mau 6 empal bakwan penyet dong kak [SEP] noted kak empal bakwan penyet rp 56.000 per porsi totalnya 336rb,empal bakwan penyet,6,56000,1
kak mau order 4 miehun goreng telur [SEP] miehun goreng telur 39.000 ya kak jadi 156.000,miehun goreng telur,4,39000,1
4 empal siomay penyet dong [SEP] noted kak empal siomay penyet 75.000 per porsi totalnya rp 300.000,empal siomay penyet,4,75000,2
"pesan tahu tempe penyet 1 porsi dan es alpukat 5 porsi nih [SEP] noted kak tahu tempe penyet 1 porsi 7k sama es alpukat 5 porsi 64 ribu, total 327 ribu",tahu tempe penyet & es alpukat,1 & 5,-1,4
minta 9 kwetiaw goreng seafood [SEP] baik kak kwetiaw goreng seafood 40.000 satuan totalnya 360k,kwetiaw goreng seafood,9,40000,1
kak mau pesen 1 paha geprek nasi kak [SEP] oke siap kak,paha geprek nasi,1,-1,2
"pak mau 1 ice choco coffe latte sama 3 ayam bakar madu dong [SEP] oke kak ice choco coffe latte 1 dan ayam bakar madu 3, totalnya 24 ribu",ice choco coffe latte & ayam bakar madu,1 & 3,-1,4
mau 10 otot empal penyet dong kak [SEP] siap otot empal penyet 74.000 totalnya rp 740.000 kak,otot empal penyet,10,74000,1
"hot kopi chocolate 1 bungkus dan 5 ayam sarang semut nasi dong kak [SEP] noted kak hot kopi chocolate 1 porsi 20k sama ayam sarang semut nasi 5 porsi 24.000, total 140.000",hot kopi chocolate & ayam sarang semut nasi,1 & 5,-1,4
kk order es pisang susu krim 1 ya kak [SEP] noted kak es pisang susu krim rp15rb per porsi totalnya 15k,es pisang susu krim,1,15000,2
tahu bakso pedes 7 kak [SEP] oke kak pesanannya masuk ya,tahu bakso pedes,7,-1,3
pesen spicy creamy chicken collagen lamian nya 2 porsi kak [SEP] noted kak ditunggu ya,spicy creamy chicken collagen lamian,2,-1,2
mau 8 kerupuk mie kak [SEP] kerupuk mie 74.000 ya kak jadi 592rb,kerupuk mie,8,74000,3
kak mau order 3 daebak cheezy hot chicken wings dong kak [SEP] qey daebak cheezy hot chicken wings harga 65rb total 195rb ya kak,daebak cheezy hot chicken wings,3,65000,3
"mbak pesen 4 indomie geprek kaya dan 1 es strawberry whip love l ya [SEP] noted kak indomie geprek kaya 4 porsi rp17rb sama es strawberry whip love l 1 porsi rp46rb, total rp 114.000",indomie geprek kaya & es strawberry whip love l,4 & 1,-1,4
"order 5 gongso sapi nasi, terus garlic chicken nya 5 ya [SEP] siap kak, gongso sapi nasi 3rb dan garlic chicken 5.000, jadi total rp40rb ya",gongso sapi nasi & garlic chicken,5 & 5,-1,4
bg order fire chicken nanban 4 ya kak [SEP] oke kak pesanannya masuk ya,fire chicken nanban,4,-1,2
1 ayam kebuli perpotong paha ya kak [SEP] siap kak,ayam kebuli perpotong paha,1,-1,2
kak mau order 2 ayam penyet jumbo sambel pecaknasi kak [SEP] oke kak ayam penyet jumbo sambel pecaknasi harganya 32k totalnya 64 rbu,ayam penyet jumbo sambel pecaknasi,2,32000,3
2 es alpukat dong kak [SEP] noted kak es alpukat 75rb per porsi totalnya 150.000,es alpukat,2,75000,1
"mbak pesen 2 es kopi susu gula aren dan 4 es nata d coco small nih [SEP] baik kak, 2 es kopi susu gula aren (rp69rb) + 4 es nata d coco small (6.000) = 162.000 ya",es kopi susu gula aren & es nata d coco small,2 & 4,-1,4
kerupuk 4 bungkus ya kak [SEP] baik kak kerupuk 27.000 satuan totalnya rp 108.000,kerupuk,4,27000,2
pesen teh susu putih kecil nya 9 porsi ya [SEP] oke kak pesanannya masuk ya,teh susu putih kecil,9,-1,2
nasi goreng merah daging 6 bungkus ya kk [SEP] siap kak nasi goreng merah daging 53.000 per porsi ttl rp318rb ya,nasi goreng merah daging,6,53000,3
pesan 6 nasi ayam sambal balado dong kak [SEP] noted kak nasi ayam sambal balado 63.000 per porsi totalnya rp378rb,nasi ayam sambal balado,6,63000,2
6 sambal terong penyet kak [SEP] oke sambal terong penyet harga 19 ribu total 114k ya kak,sambal terong penyet,6,19000,3
bg mau pesen 6 es ceria fload ya kak [SEP] siap kak es ceria fload 63rb per porsi total 378.000 ya,es ceria fload,6,63000,1
boleh pesan 5 chicken gyukotsu ramen dong kak [SEP] siap kak chicken gyukotsu ramen rp 48.000 per porsi total rp 240.000 ya,chicken gyukotsu ramen,5,48000,2
boleh pesan 9 kopi jelly kak [SEP] oke kopi jelly harga 52 ribu total 468.000 ya kak,kopi jelly,9,52000,2
bu kentang ayam katsu crispy 6 dong [SEP] oke kentang ayam katsu crispy harga rp 68.000 total 408rb ya kak,kentang ayam katsu crispy,6,68000,2
bu 9 nasi pecel [SEP] oke kak nasi pecel harganya rp44rb totalnya rp396rb,nasi pecel,9,44000,1
pesan 7 ayam kare dong kak [SEP] siap kak ayam kare rp 29.000 per porsi total 203k ya,ayam kare,7,29000,2
"pak mau 1 katsu chicken burger sama 5 chicken karaage mentai bento dong [SEP] oke kak katsu chicken burger 1 dan chicken karaage mentai bento 5, totalnya rp 136.000",katsu chicken burger & chicken karaage mentai bento,1 & 5,-1,4
mau mie aceh kuah telur jumlahnya 10 ya kak [SEP] oke kak mie aceh kuah telur harganya rp70rb totalnya 700rb,mie aceh kuah telur,10,70000,3
minta 6 pecal kecomprangjus [SEP] oke noted,pecal kecomprangjus,6,-1,1
"kk katsu barbeque sauce tanpa nasi 1 sama jus semangka 3 kak [SEP] noted kak katsu barbeque sauce tanpa nasi 1 porsi rp9rb sama jus semangka 3 porsi 41k, total rp 132.000",katsu barbeque sauce tanpa nasi & jus semangka,1 & 3,-1,4
pesen bebek penyet sambal terasi nya 6 porsi nih [SEP] noted kak bebek penyet sambal terasi 25 rbuan per porsi totalnya rp 150.000,bebek penyet sambal terasi,6,25000,3
mau jus jeruk jumbo jumlahnya 8 [SEP] siap jus jeruk jumbo 9.000 totalnya rp72rb kak,jus jeruk jumbo,8,9000,2
soto betawi 4 bungkus ya bg [SEP] siap kak soto betawi 16rb per porsi total 64.000 ya,soto betawi,4,16000,2
mau 10 ayam taliwang masakan kak [SEP] siap kak ayam taliwang masakan 57 ribu per porsi total rp570rb ya,ayam taliwang masakan,10,57000,2
pesen nasi udang tepung penyet nya 7 porsi ya [SEP] oke nasi udang tepung penyet harga 24.000 total 168.000 ya kak,nasi udang tepung penyet,7,24000,1
pesan 4 ayam goreng kentukypotong dong,ayam goreng kentukypotong,4,-1,2
mnt 3 soto dengan daging dong kak [SEP] soto dengan daging 23k ya kak jadi rp 69.000,soto dengan daging,3,23000,3
mau es teh pandan jumlahnya 3 ya [SEP] oke kak es teh pandan harganya 65k totalnya rp 195.000,es teh pandan,3,65000,2
4 gurami goreng kering ekor ya [SEP] oke gurami goreng kering ekor harga 32rb total 128 ribu ya kak,gurami goreng kering ekor,4,32000,3
kk 4 sop jagung kepiting dong [SEP] oke noted,sop jagung kepiting,4,-1,3
min order teh tarik 3 ya [SEP] siap kak teh tarik 32 ribu per porsi total 96rb ya,teh tarik,3,32000,3
"mbak mau 2 kwetiau rebus sama 3 lele penyet nih [SEP] siap kak, kwetiau rebus 19 ribu dan lele penyet 57rb, jadi total 209rb ya",kwetiau rebus & lele penyet,2 & 3,-1,4
mas order es teh 8 kak,es teh,8,-1,3
pesan 6 nasi bungkus paru [SEP] oke kak nasi bungkus paru harganya rp 28.000 totalnya 168rb,nasi bungkus paru,6,28000,2
min mau pesen 3 mie aceh kepiting ya [SEP] noted kak mie aceh kepiting rp31rb per porsi totalnya 93k,mie aceh kepiting,3,31000,2
"pak pesen 3 bihun rebus dan 5 ayam telor penyet ya kak [SEP] baik kak, 3 bihun rebus (47 ribu) + 5 ayam telor penyet (rp26rb) = rp 271.000 ya",bihun rebus & ayam telor penyet,3 & 5,-1,4
kak isa pesen 4 empal udang penyet ya kak [SEP] baik kak empal udang penyet rp 40.000 satuan totalnya 160k,empal udang penyet,4,40000,3
