slang,formal
woww,wow
aminn,amin
met,selamat
netaas,menetas
keberpa,keberapa
eeeehhhh,eh
hallo,halo
kaka,kakak
ka,kak
daah,dah
aaaaahhhh,ah
yaa,ya
smga,semoga
slalu,selalu
amiin,amin
kk,kakak
trus,terus
sii,sih
nyenengin,menyenangkan
bgt,banget
gemess,gemas
akuuu,aku
jgn,jangan
udah,sudah
gitu,begitu
aja,saja
gemesiin,menggemaskan
menyenangkn,menyenangkan
rb,ribu
akau,aku
saranin,menyarankan
nemuin,menemukan
yah,ya
gtu,begitu
tu,itu
idolaa,idola
bangett,banget
kaakk,kak
baaiikkk,baik
telaatt,telat
kaak,kak
yg,yang
lg,lagi
skarang,sekarang
sempet,sempat
karna,karena
ngga,enggak
mantep,mantap
loohhh,loh
yeee,ya
baguuuuus,bagus
sampe,sampai
ngikutin,mengikuti
gayany,gayanya
bnk,bang
awaas,awas
siip,sip
abizzzz,habis
kerrrrennnn,keren
sayaa,saya
pengen,ingin
kpan,kapan
sma,sama
sdkit,sedikit
bngt,banget
lgu,lagu
kharismanya,karismanya
aq,aku
jdi,jadi
lgi,lagi
gk,enggak
kek,kayak
lgunya,lagunya
kereeeeennnn,keren
nyamain,menyamakan
lakik,laki
siippp,sip
bkn,bukan
nyangka,menyangka
bangettt,banget
kereeen,keren
wihhhhhh,wih
tp,tapi
inget,ingat
bingitsss,banget
dmn,dimana
bird,biru
kaloo,kalo
gimna,bagaimana
tuuh,tuh
nyebur,mencebur
yng,yang
dbuat,dibuat
kn,kan
org,orang
pingin,ingin
bangcat,bangsat
yha,ya
waoohhh,wah
pngn,pegen
tmpt,tempat
dhe,deh
indahhh,indah
bgttt,banget
tuhh,tuh
berarto,berarti
ga,enggak
aamiin,amin
amiiinn,amin
dgn,dengan
amiiiin,amin
aminnn,amin
amiend,amien
yaaa,ya
ameen,amin
aminnnn,amin
amiiinnn,amin
ngomong,mengomong
mamer,memamerkan
keles,kali
jelase,jelas
liat,lihat
uwakk,uwak
ntar,entar
bs,bisa
gini,begini
salfok,salah fokus
njir,anjir
piiink,pink
astgfrullah,astagfirullah
ko,kok
cd,celana dalam
gbs,enggak bisa
bhs,bahasa
yaaaaaa,ya
gak,enggak
bangshad,bangsat
stagahhhh,astaga
kpn,kapan
iooo,lo
dy,dia
d,ada
mslh,masalah
qt,kita
plampiasannn,pelampiasan
masalahh,masalah
tohh,toh
inghinn,ingin
dhi,di
mengherthii,mengerti
yanckh,yang
chelalyyu,selalu
therchakitty,tersakiti
mauuuuu,mau
kaliii,kali
bangat,banget
bkin,bikin
dongg,dong
yokkk,yuk
yu,yuk
sweger,segar
gantengg,ganteng
bingiit,banget
kebukaaa,terbuka
tpi,tapi
keliatan,kelihatan
yakk,ya
kayakk,kayak
asliii,asli
kyk,kayak
cntiknya,cantiknya
bat,banget
ngeliatnya,melihatnya
sll,selalu
bet,banget
njerr,anjir
bingiiittttzzzz,banget
k,kak
klo,kalo
dooong,dong
masi,masih
gni,begini
hdk,hendak
jugaa,juga
mksud,maksud
aj,saja
tetep,tetap
mbakx,mbaknya
syantik,cantik
kite,kita
pa,apa
mksd,maksud
bejilbbnya,berjilbabnya
masio,masih
yahhh,ya
makasih,terima kasih
leh,boleh
ugaaa,juga
jerewi,jerawat
ilang,hilang
jilbabnyaah,jilbabnya
yuuuk,yuk
warnaaa,warna
punyaaa,punya
cantiik,cantik
sukaaak,suka
kebayanyaa,kebayanya
mantes,memantas
merekaaaa,mereka
jugaaa,juga
gilaaaa,gila
lucuu,lucu
emessss,gemas
ucullllll,lucu
males,malas
bangeettt,banget
gemesshh,gemas
apaaa,apa
ampuunn,ampun
ciuuuummmm,cium
mbil,sambil
ngmng,mengomong
ngemeng,mengomong
epe,apa
seehh,sih
yank,sayang
ucul,lucu
yahh,ya
gw,gue
ngakak,mengakak
astagfirrullah,astagfirullah
suerrr,suer
mnta,minta
syg,sayang
ntik,cantik
pny,punya
dapet,dapat
suru,suruh
lucuuuu,lucu
ketawakkkk,ketawa
kyanya,kayanya
bnget,banget
nakutin,menakutkan
malingg,maling
cocokk,cocok
niihh,nih
imutttttt,imut
satuuuuu,satu
sesekk,sesak
nafass,nafas
bgtt,banget
cintaaaaaaa,cinta
lucuk,lucu
ma,sama
duluu,dulu
megang,memegang
kawinin,mengawini
liatin,memperlihatkan
ny,nya
bdan,badan
nyaaa,nya
gemesin,menggemaskan
fotoin,memfoto
ngaku,mengaku
kaaa,kak
pcarny,pacarnya
kri,kiri
knpa,kenapa
pda,pada
cmn,cuman
tembokk,tembok
namax,namanya
kiriii,kiri
bungkusin,bungkuskan
atu,satu
dehhhh,deh
kakk,kak
ngegantiin,menggantikan
alloh,allah
smpe,sampai
msh,masih
trsa,terasa
khadirannya,kehadirannya
fikiran,pikiran
hayalanku,khayalanku
bru,baru
nton,menonton
ngapain,mengapai
surgaa,surga
kangenn,kangen
kgn,kangen
kakkkkk,kak
rinduuuuuuuuu,rindu
ninggalin,meninggalkan
smg,semoga
terangkhn,terangkan
bgtttt,banget
knp,kenapa
tuk,untuk
slama,selama
orng,orang
bngunlah,bangunlah
bngun,bangun
ea,ya
qu,ku
hiri,hari
"teman""ny",teman-temannya
aza,saja
dr,dari
alm,almarhum
skrg,sekarang
sie,sih
benet,benar
bangetttt,banget
tuu,tuh
skrang,sekarang
gda,enggak ada
gantiin,menggantikan
kta,kata
kklau,kalau
acra,acara
kasian,kasihan
bnerr,benar
emk,emak
temenn,teman
pngenn,ingin
terkenall,terkenal
ajhh,saja
mnjadi,menjadi
shbt,sahabat
bner,benar
ktny,katanya
dimusiumin,dimuseumkan
bntu,bantu
dlu,dulu
udh,sudah
kangem,kangen
amiiin,amin
smua,semua
slmt,selamat
jln,jalan
"mudh""an",mudah-mudahan
tenny,tenang
sdh,sudah
tnya,tanya
blm,belum
td,tadi
sblm,sebelum
bole,boleh
lahhh,lah
maap,maaf
cm,cuma
kmrn,kemarin
wkt,waktu
ama,sama
ak,aku
lht,lihat
mnrtkuu,menurutku
trs,terus
ikutin,mengikuti
jdwl,jadwal
wajiiib,wajib
aaaammmiiiinnnn,amin
dtnggu,ditunggu
jan,jangan
kunjungin,kunjungi
lagiiii,lagi
waktunyaaa,waktunya
diluangin,diluangkan
jga,juga
mimin,admin
istimewaaa,istimewa
blom,belum
nangis,menangis
"ngaku""",mengaku-ngaku
diaa,dia
donkk,dong
kejawab,terjawab
yaaaa,ya
mohom,mohon
kebalas,terbalas
nyempetin,menyempatkan
wktunya,waktunya
kaaaa,kak
ngobrol,mengobrol
namain,menamai
bls,balas
ijap,ijab
kobul,kabul
co,cowok
pst,pasti
inggat,ingat
brdua,berdua
sanggat,sangat
siipp,sip
laa,lah
dlm,dalam
hdup,hidup
hdp,hidup
kedpan,kedepan
smoga,semoga
mndaptkan,mendapatkan
"nutup""in",menutup-nutupi
iyah,iya
sja,saja
kakkk,kak
za,saja
peengn,ingin
tuch,tuh
muantteepp,mantap
cpt,cepat
mrit,merit
y,ya
ngapasih,mengapa sih
ni,ini
segitunya,sebegitunya
fto,foto
pke,pakai
sisain,menyisakan
slamt,selamat
nantiii,nanti
edaaan,edan
emg,memang
ciyeeeeeee,cie
pantes,pantas
lairannya,kelahirannya
jmnya,jamnya
ajha,saja
nyaaaa,nya
nyari,mencari
amiien,amien
terbaikkk,terbaik
ayahh,ayah
ae,saja
ndak,indak
ngerti,mengerti
mrekaaaa,mereka
yaampuuuunnnn,ya ampun
nyanyiin,menyanyikan
ahhh,ah
pgen,ingin
tempt,tempat
kh,kah
bgini,begini
brani,berani
km,kamu
asyikkkkk,asyik
iriiiii,iri
ngajak,mengajak
naaaaahh,nah
kka,kakak
yak,ya
ttep,tetap
sperti,seperti
jrang,jarang
msuk,masuk
makkk,mak
guee,gue
pengennn,ingin
gilzz,gila
nyaru,menyaru
gilaaa,gila
jd,jadi
ohh,oh
mantabs,mantab
jgan,jangan
mlu,malu
payahh,payah
ntaf,mantap
