product,jumlah_muncul
nasi telor kalimantan,9
es kopi tem,9
ice kopi taro,8
chicken spaghetty,8
nasi nila saos tiram,8
nasi goreng istimewa,7
nasi goreng chasiu,7
complete chicken teriyaki bento,7
nasi bebek goreng,7
capjay ayam,7
psbb ayam balado,7
sambal mie,7
es rasa coklat,7
ayam geprek jengkolpotong,7
ayam full,7
ayam saos asam,6
nasi bakar cumi hitam,6
epic crispy chicken,6
nasi sop sapi,6
oseng ayam asap kecombrang,6
mie campur,6
garlic chicken,6
mozzarella chicken burger,6
ifumie goreng telor,6
ayam bakar jumbo nasi,6
black pepper chicken,6
mie tiaw goreng sifoodtelor,6
nasi goreng belacan seafood,6
truffle chicken spicy mentai nekad,6
chicken mattah,6
es jasjus anggur,6
chicken wing bbq,6
fried chicken dada,6
nasi goreng red,6
nasi goreng ikan asin seafood,6
ayam pokpok,6
cereal chicken rice,6
pepes kakap,6
psbb ayam suwir,6
nasi goreng pake sayaurtelor,6
super telor ayam,6
ayam geprek originalpotong,6
chicken teriyaki with egg,6
corndog bakso lobster,6
palmiers stick,6
jus strawberry,6
rice bowl ayam teriyaki,6
nasi liwet,6
mie telor,5
capcay ayam,5
crispy chicken spicy,5
small ice taro,5
es susu rasa lecy,5
ayam nabati khas indonesia,5
truffle chicken mentai sauce,5
sotong bakar besar,5
calzone chicken original,5
fried chicken finger,5
spesial telor ayam sosis,5
hazelnut latte,5
noodle bowl ayam,5
korean chicken bowl original,5
nasi goreng cabe ijo seafood,5
otakotak ikan,5
loyang ayam mini,5
nasi goreng kecombrang ayam pete,5
nasi telur kulit bakar,5
chicken teriyaki gunkan,5
hot caramel latte,5
nasi campur,5
bihun goreng vegetarian,5
crispy chicken,5
paranoid chicken wings,5
nasi soto ayam,5
nasi ayam rica rica,5
chicken thai nasi,5
bihun goreng telur ayam,5
mie kuah instand sedap,5
combo ayam geprek sambl matah,5
mie ayam bakso telur,5
best of chicken burger,5
chickenless curry crusty pie,5
chicken karaage nanban bento,5
es nutrisari florida orange,5
kepala bebek plus nasi,5
nasi goreng jamet,5
teh anggur,5
nasi telur kulit geprek,5
nasi minyak,5
mie tiaw cumi,5
es alpukat kelapa,5
double jus manja,5
chicken ramenn,5
nasi bucket beef,5
wak fen kwetiau,5
mie nyemek,5
curry chicken,5
brownies gulung toping keju parut,5
kulit ayam kriuk,5
kerang ijo pedas manis,5
