product,jumlah_muncul
gongso ayam nasi,24
original chicken steak,22
ayam blackpaper squash,22
loyang sedang ayam bosgil,22
ayam cabe kering,22
nasi goreng,21
nasi kulit geprek,21
itaewon mozzy chicken xxl,21
ayam pop,21
nasi kotak ayam bakar sayap,20
crepes nutella keju,20
nasi putih,20
nasi ayam kampung belut,20
nasi goreng xo seafood,20
es kopi susu gula aren,19
ayam bakar madu,19
ayam crispy,19
nasi goreng spesial,19
ayam potong pe,19
nasi bakar ayam bakar,19
istimewa ayam,19
nasi siobak jumbo,19
nasi gembung tauco,19
ayam bakar ts,18
nasi telur balado,18
nasi gurih mata sapi,18
nasi goreng quemami,18
nasi tenggiri gulai,18
nasi kuning ayam,18
ayam kecap,18
nasi ayam goreng kampung,18
lemper ayam rm,18
chicken steak cordon bleu,17
japanese curry chicken rice feast,17
nasi goreng dimsum kepiting,17
lumpia ayam kulit tahu,17
ayam saus mentega,17
ayam bakar bumbu kecap,17
nasi ayam sambal ijo barokah,17
md nyakitin topping ayam tabur,17
ayam katsu,17
the og chicken burger combo,17
mie ifumie goreng,17
nasi goreng sosis telur,17
mie yamin original,17
nasi jeruk,17
coklat susu,17
rice bowl chicken fillet original,17
nasi kulit omahan teriyaki,17
nasi goreng katsu,17
nasi kotak telur,17
mie dower goreng telor,17
bakmie kasar polos telur,17
sop iga asam pedas,17
jus semangka,17
ayam potong tanpa nasi,17
bubur nasi burnas limasari,17
chicken pesto parm mini,17
ikan manyung tanpa nasi,17
nasi goreng original,17
nasi hainan ayam panggang,17
sop buntutgoreng,17
penyetan ati empela nasi,16
ayam krispy pencet,16
rice chicken katsu,16
kopi susu creamy,16
nasi panggangan ikan tengiri,16
rice box chicken fire,16
crispy chicken bbq aqua,16
nasi goreng baso seafood,16
indomie matah buaya,16
chicken double,16
nasi goreng jawa udang,16
nasi bebek rica rica,16
indomie gorengkuah,16
mie goreng,16
roti sosis ayam,16
bakso daging maju mapan kombinasi,16
nasi goreng kampong,16
es jeruk,16
nasi pecelurap wong soeroboyo,16
paha ayam bakar,16
mie goreng ndoweerrr,16
nasi goreng sambal matah,16
mie kuah pedas,16
hainan rice barbeque chicken,16
garlic chicken,16
nasi ayam betutu,16
duo paha ayam,16
gorengan penyet,16
chicken strip kimboo,16
best of chicken burger,16
nasi tongkol,16
mie indomie ayam panggang jumbo,16
nasi bebek gemoy,16
nasi telor balado,16
sambelan ayam,15
nasi kuning,15
ayam kremes,15
ayam rica rica,15
