product,jumlah_muncul
nasi ayam geprek mozarella,139
vegas chicken burger,135
chicken spaghetty,132
ayam clbk dada,130
nasi goreng aceh,128
sup ayam,127
pizza molen chicken,126
nasi lele manyung,126
bbq chicken,126
extra kulit ayam krispy,124
cake combinasi besar,124
nasi telor omahan sambal merah,123
korean ramyeon chicken,123
nasi goreng ndoweerrr,122
nasi goreng premium sei ayam,122
telur ayam dadar,122
nasi goreng merah jumbo,121
chicken teriyaki bento,121
ayam sambal ijo,121
ayam saos lemon,121
kebab ayam premium,120
rempelo ati ayam,120
chicken ham,120
onigiri spicy chicken mayo,119
chicken gyoza pizza,119
nasi gurih perkedel,119
ayam betutu,119
nasi udang asam manis,119
ayam bakar plus nasi,119
bubur ayam aja,118
nasi sayur telur asin,118
nasi pecel,118
ayam crispy,118
chicken wings nyayap snowy cheese,118
ayam blackpaper squash,118
nasi gorang seafood,118
super telor ayam,117
nasi goreng bumbu udang,117
nasi goreng dimsum ayam,117
nasi ayam bakar omahan,117
nasi goreng kampung,117
nasi goreng tomyum,117
american sosis ayam,116
dimsum ayam original,116
nasi liwet,116
nasi timbel,116
chicken mamba,116
chicken black paper,116
nasi lodeh menantea,116
nasi timbel ayam goreng,115
chicken shoyu ramen,115
ayam katsu,115
chicken wing,115
bakpao ayam kecap pedas,114
gurami asam manis nasi,114
nasi kebuli,114
nasi goreng meko,114
nasi goreng bakso,114
istimewa ayam,114
ayam rica rica,114
nasi uduk komplit,114
soy garlic kchicken bowl,113
sei ayam raja rempah,113
pecel reog nasi,113
nasi ayam betutu,113
nasi goreng tapi bakso,112
rice box chicken fire,112
ayam bakar jumbo tanpa nasi,112
ikan gembung bakarnasi,112
nasi sambal udang asam sunti,112
truffle chicken garlic cheese mentai,112
nasi tambah,112
migotan ayam l,112
nasi ayam keju,112
md nyakitin topping ayam jamur,112
nasi nila asam manis,112
bowl chicken pop corn,112
nasi goreng ayam lada hitam,112
roti daging ayam,112
nasi ayam pecak,112
ayam paha atas hot lava,111
rempelo ati bebekayam,111
ayam blackpaper tea,111
nasi hot plate tahu jepang,111
nasi kulit bara,111
nasi goreng jumbo nyam nyam,111
bowl chicken teriyaki,111
nasi lele bakar,111
tartar chicken rice feast,111
nasi goreng sate ayam,111
nasi goreng xo seafood,111
cheesy chicken set,111
chicken katsu set,111
nasi ayam goreng ireng,110
nasi telor dadar,110
nasi telor dadar sambel bawang,110
nasi rawon sapi,110
nasi ayam kulit crispy,110
chicken steak,110
ayam cabe ijo,110
