product,jumlah_muncul
nasi goreng sosis,133
spaghetti alfredo chicken,132
nasi ayam goreng omahan,130
nasi bungkus sayur,129
nasi goreng white spesial,129
nasi cumi asam pedas,129
rice bowl ayam teriyaki,128
nasi sapi kailan lada hitam,127
chicken cordon bleu,124
nasi goreng dimsum ayam,124
nasi cumi asam manis,124
nasi cumi crispy,124
nasi sereh bungkus limasari,123
black pepper chicken,123
nasi cumi,122
ayam sarang semut nasi,122
nasi telur sambal ijo,122
nasi telor dadar pedas,122
ayam kfc nasi,121
nasi beef basil,121
nasi hainam polos,121
extra ayam asap,121
nasi goreng miramar,120
nasi goreng telor,120
nasi jeruk,120
ayam geprek cabe hijaupotong,120
bayam crispy,120
nasi madura darat,120
nasi timbel ayam tempe,120
nasi wader,120
nasi bakar meko,119
chicken chop with mushroom sc,119
nasi nusantara,119
ayam katsu,119
nasi sayur matasapi,119
ikan wader tanpa nasi,119
best of chicken burger,118
donat paha ayam,118
ayam asam manis,118
panzerotti chicken,118
nasi campur,118
ayam plecing,118
nasi gorengtelor,118
loyang besar ayam bosgil,118
katsu barbeque sauce tanpa nasi,117
dumpling ayam bakar,117
nasi ayam sambal balado,117
nasi sayur ayam,117
ayam recheese refftwo tanpa nasi,117
skewers chicken breast,117
ayam cha jamur,117
chicken teriyaki jumbo,117
ayam crispy,117
nasi gila,116
nasi sambal udang asam sunti,116
boneless fried chicken regular,116
spicy mayo chicken rice,116
ayam goreng plus nasi,115
nasi udang,115
fried chicken paha sayap,115
kroket ayam,115
chicken tempura,115
ayam hati segar,115
nasi goreng api,115
daebak cheezy hot chicken wings,114
salad ayam cincang dg suun,114
nasi goreng merah daging,114
nasi pecel menantea,114
rice bowl chicken fillet original,114
chicken mushroom pie,114
nasi ayam sambal gempor,114
nasi goreng kari,114
nasi gurih mata sapi,113
kentang ayam katsu crispy,113
nasi rendang bola daging,113
nasi uduk,113
donat ayam,113
nasi kulit ayam teriyaki,113
sosis bakar sobat rasa ayam,113
nasi fish n chip,113
chicken spicy with egg,113
chicken maryland,113
chicken strips,112
roti daging ayam,112
nasi kuning,112
sunday roast chicken,112
onigiri chicken blackpepper,112
nasi gurame rica rica copa,112
nasi ayam kemangi,112
extra chicken patty,112
nasi udang asam manis,112
ayam telur asin,112
crispy chicken with sambal hainan,112
cumi saos tiram petenasi,112
ayam taliwang masakan,111
nasi box gurame urap,111
paha geprek nasi,111
nasi goreng merah spesial,111
nasi goreng meko,111
calzone chicken original,111
