section,dataset,label,jumlah,persen,keterangan
harga,synthetic_orders_1000food_100000.csv,rb (contoh: 15rb),46084,45.9,
harga,synthetic_orders_1000food_100000.csv,k (contoh: 15k),25297,25.2,
harga,synthetic_orders_1000food_100000.csv,ribu (contoh: 15 ribu),23394,23.3,
harga,synthetic_orders_1000food_100000.csv,.000 (contoh: 15.000),46209,46.0,
harga,synthetic_orders_1000food_100000.csv,rp...rb (contoh: rp15rb),25327,25.2,
harga,synthetic_orders_1000food_100000.csv,rp ...000 (contoh: rp 15.000),25491,25.4,
jumlah,synthetic_orders_1000food_100000.csv,angka saja (contoh: 3),90766,90.3,
jumlah,synthetic_orders_1000food_100000.csv,angka + porsi (contoh: 3 porsi),0,0.0,
jumlah,synthetic_orders_1000food_100000.csv,angka + pcs (contoh: 3 pcs),0,0.0,
jumlah,synthetic_orders_1000food_100000.csv,angka + buah (contoh: 3 buah),0,0.0,
jumlah,synthetic_orders_1000food_100000.csv,angka + bungkus,0,0.0,
ringkasan,synthetic_orders_1000food_100000.csv,total_baris,100500,,
ringkasan,synthetic_orders_1000food_100000.csv,price_minus1,17500,,
ringkasan,synthetic_orders_1000food_100000.csv,price_valid,83000,,
ringkasan,synthetic_orders_1000food_100000.csv,price_min,3000,,
ringkasan,synthetic_orders_1000food_100000.csv,price_max,75000,,
ringkasan,synthetic_orders_1000food_100000.csv,qty_min,1,,
ringkasan,synthetic_orders_1000food_100000.csv,qty_max,10,,
ringkasan,synthetic_orders_1000food_100000.csv,ada_sep,98009,,
ringkasan,synthetic_orders_1000food_100000.csv,tanpa_sep,2491,,
ringkasan,synthetic_orders_1000food_100000.csv,baris_tanpa_harga_teks,17500,,
