input_text,product,quantity,price_satuan,pattern
kak mau order 4 mie ayam barbeque [SEP] siap kak mie ayam barbeque 61k per porsi total 244.000 ya,mie ayam barbeque,4,61000,2
bg mau pesen 4 chicken steak cordon bleu [SEP] chicken steak cordon bleu 50 ribu ya kak jadi 200 rebu,chicken steak cordon bleu,4,50000,3
6 bakso ayam ceker [SEP] siap kak,bakso ayam ceker,6,-1,3
kak mau order 1 sei ayam medium nih [SEP] sei ayam medium rp24rb ya kak jadi 24 ribu,sei ayam medium,1,24000,3
10 ayam sambal hijau dong kak [SEP] siap kak ayam sambal hijau 53rb per porsi total rp 530.000 ya,ayam sambal hijau,10,53000,1
kak mau order 3 es sirup susu ya [SEP] noted kak es sirup susu 72 ribu per porsi totalnya rp216rb,es sirup susu,3,72000,1
bang 5 roasted spring chicken ya [SEP] oke noted,roasted spring chicken,5,-1,2
1 ayam kampung bakar dong kak [SEP] ayam kampung bakar 55.000 ya kak jadi rp 55.000,ayam kampung bakar,1,55000,1
mas mau pesen 5 kwetiau siram dong [SEP] siap kak kwetiau siram 61.000 per porsi total 305.000 ya,kwetiau siram,5,61000,1
kak 7 teh susu coklat ya [SEP] siap kak,teh susu coklat,7,-1,2
bu 8 nasi nila bakar sambal kecap nih [SEP] baik kak,nasi nila bakar sambal kecap,8,-1,1
mbak bisaaa order 3 bakso rudal [SEP] bakso rudal 52.000 ya kak jadi 156rb,bakso rudal,3,52000,3
kak mau order 8 kwetiau penang seafood telur bebek kak [SEP] siap kwetiau penang seafood telur bebek 28 ribu totalnya rp224rb kak,kwetiau penang seafood telur bebek,8,28000,1
pesan 6 nasi wings xl geprek matha nih [SEP] oke noted,nasi wings xl geprek matha,6,-1,1
9 nasi gulai otak ya kak [SEP] baik kak,nasi gulai otak,9,-1,2
10 omelete chicken telur dong [SEP] siap kak,omelete chicken telur,10,-1,1
boleh pesan 3 soto jeroan masakan nih [SEP] oke soto jeroan masakan harga rp 72.000 total rp 216.000 ya kak,soto jeroan masakan,3,72000,1
bg nbisa pesen 9 ayam bakar mini tanpa nasi dong kak [SEP] noks kak ayam bakar mini tnp nasi harganya rp34rb totalnya rp306rb,ayam bakar mini tanpa nasi,9,34000,3
kak mau order 4 bakso semar mendem dong [SEP] oke kak bakso semar mendem harganya 30rb totalnya 120k,bakso semar mendem,4,30000,1
nbeli 4 batagor [SEP] batagor 32 ribu ya kak jadi 128.000,batagor,4,32000,3
bang 6 combo ayam geprek mozarella kak [SEP] nok kak combo ayam geprek mozarella harganya 38.000 totalnya 228rb,combo ayam geprek mozarella,6,38000,3
6 pastel [SEP] baik kak pastel 70rb satuan totalnya rp420rb,pastel,6,70000,2
beli 7 nasi telur kulit nih [SEP] oke kak nasi telur kulit harganya 9 ribu totalnya rp63rb,nasi telur kulit,7,9000,2
mbak mau pesen 6 telur ayam bagian kuning dong kak [SEP] oke kak telur ayam bagian kuning harganya 65 ribu totalnya rp 390.000,telur ayam bagian kuning,6,65000,2
pesan 9 es kelapa muda nih [SEP] baik kak es kelapa muda rp53rb satuan totalnya 477 ribu,es kelapa muda,9,53000,2
mau 8 mix brownies bites ya [SEP] oke kak mix brownies bites harganya 71k totalnya 568k,mix brownies bites,8,71000,2
kak mau order 10 nasi putih ya kak [SEP] oke kak nasi putih harganya rp67rb totalnya 670k,nasi putih,10,67000,1
4 nasi penyet ayam sambal ijo ya [SEP] baik kak nasi penyet ayam sambal ijo 58k satuan totalnya 232rb,nasi penyet ayam sambal ijo,4,58000,2
minta 10 lumpia ayam kulit tahu dong [SEP] baik kak lumpia ayam kulit tahu rp70rb satuan totalnya 700k,lumpia ayam kulit tahu,10,70000,2
3 koloke nasi dong [SEP] noted kak koloke nasi 56 rb per porsi totalnya 168rb,koloke nasi,3,56000,3
10 nasi wader pe nih [SEP] oke kak pesanannya masuk ya,nasi wader pe,10,-1,1
8 nasi goreng cabe ijo dong kak [SEP] oke siap kak,nasi goreng cabe ijo,8,-1,1
10 bakso besar nih [SEP] noted kak ditunggu ya,bakso besar,10,-1,3
beli 8 telur ayam bagian kuning dong [SEP] oke telur ayam bagian kuning harga 75rb total rp 600.000 ya kak,telur ayam bagian kuning,8,75000,2
kak mau order 10 cupcakes flower set dong kak [SEP] baik kak cupcakes flower set rp 68.000 satuan totalnya 680 rebu,cupcakes flower set,10,68000,3
kak mau order 4 ayam pop ya kak [SEP] siap ayam pop rp 22.000 totalnya rp88rb kak,ayam pop,4,22000,1
2 iced teh tarik with jelly ya kak [SEP] oke noted,iced teh tarik with jelly,2,-1,1
1 es buah ya kak [SEP] siap kak,es buah,1,-1,2
kak nmo order 3 ayam kota belur cabe ijo dong kak [SEP] siaaap ayam kota belur cabe ijo rp 38.000 totalnya rp 114.000 kak,ayam kota belur cabe ijo,3,38000,3
beli 3 pentolbakso dong kak [SEP] siap kak pentolbakso rp45rb per porsi total 135rb ya,pentolbakso,3,45000,1
mas 8 penyetan ayam plus nasi ya [SEP] oke kak penyetan ayam plus nasi harganya 26rb totalnya 208 ribu,penyetan ayam plus nasi,8,26000,2
minta 1 nasi gurih mata sapi nih [SEP] siap kak,nasi gurih mata sapi,1,-1,3
mau 6 tahu penyet ya [SEP] siap tahu penyet rp26rb totalnya 156k kak,tahu penyet,6,26000,2
mas 1 ayam penyet pakai nasi dong kak [SEP] ayam penyet pakai nasi rp28rb ya kak jadi rp28rb,ayam penyet pakai nasi,1,28000,1
kak mau pesen 8 ayam penyet pkt santap dong kak [SEP] siap ayam penyet pkt santap rp 18.000 totalnya 144rb kak,ayam penyet pkt santap,8,18000,2
mau 3 sop ayam kriuk ya kak [SEP] baik kak sop ayam kriuk 65.000 satuan totalnya rp 195.000,sop ayam kriuk,3,65000,1
