"text";"orders";"orders_str";"num_items";"grand_total"
"1 bakso aci original Rp49000 dan kohike karamelo au lait 39500";"[{""product"":""bakso aci original"",""quantity"":1,""price"":49000,""total_price"":49000},{""product"":""kohike karamelo au lait"",""quantity"":1,""price"":39500,""total_price"":39500}]";"bakso aci original:1:49000|kohike karamelo au lait:1:39500";"2";"88500"
"kak 2 porsi strawberry parmesan rp 14500";"[{""product"":""strawberry parmesan"",""quantity"":2,""price"":14500,""total_price"":29000}]";"strawberry parmesan:2:14500";"1";"29000"
"kak satu ice lychee tea 2000";"[{""product"":""ice lychee tea"",""quantity"":1,""price"":2000,""total_price"":2000}]";"ice lychee tea:1:2000";"1";"2000"
"wkwk satu double cheese burger 8500";"[{""product"":""double cheese burger"",""quantity"":1,""price"":8500,""total_price"":8500}]";"double cheese burger:1:8500";"1";"8500"
"kak 2 mix vanilla Rp48500";"[{""product"":""mix vanilla"",""quantity"":2,""price"":48500,""total_price"":97000}]";"mix vanilla:2:48500";"1";"97000"
"seporsi nenas pineapple rp 41500 dan tiga caffe latte 38500 dan tumis kepiting Rp4500";"[{""product"":""nenas pineapple"",""quantity"":1,""price"":41500,""total_price"":41500},{""product"":""caffe latte"",""quantity"":3,""price"":38500,""total_price"":115500},{""product"":""tumis kepiting"",""quantity"":1,""price"":4500,""total_price"":4500}]";"nenas pineapple:1:41500|caffe latte:3:38500|tumis kepiting:1:4500";"3";"161500"
"kak satu nopia spesial Rp12000 + 1 kopi pancung rp 44500";"[{""product"":""nopia spesial"",""quantity"":1,""price"":12000,""total_price"":12000},{""product"":""kopi pancung"",""quantity"":1,""price"":44500,""total_price"":44500}]";"nopia spesial:1:12000|kopi pancung:1:44500";"2";"56500"
"wkwk 1 es mangga l Rp12000";"[{""product"":""es mangga l"",""quantity"":1,""price"":12000,""total_price"":12000}]";"es mangga l:1:12000";"1";"12000"
"kak 3 uncle goober bites rp 16500 sama tiga ice kopi gula aren Rp27500 sama 1 mie ayam jamur special 38000";"[{""product"":""uncle goober bites"",""quantity"":3,""price"":16500,""total_price"":49500},{""product"":""ice kopi gula aren"",""quantity"":3,""price"":27500,""total_price"":82500},{""product"":""mie ayam jamur special"",""quantity"":1,""price"":38000,""total_price"":38000}]";"uncle goober bites:3:16500|ice kopi gula aren:3:27500|mie ayam jamur special:1:38000";"3";"170000"
"kak sampler rp 17500";"[{""product"":""sampler"",""quantity"":1,""price"":17500,""total_price"":17500}]";"sampler:1:17500";"1";"17500"
