text,product,quantity,price,total_price
ORDER CHOCOLATE CINCAU HOT 1 AJA PCS HARGA RP 19500,chocolate cincau hot,1,19500,19500
WKWK LIMA PORXI CARAMEL CHOCOLATE  M BERAPA KAK?,caramel chocolate  m,5,4000,20000
nitip toping nugget ya 4 aja harga 30500 rb,toping nugget,4,30500,122000
"MILK TEA COKLAT 1 YA KAK, HARGA RP26000",milk tea coklat,1,26000,26000
fyi kak ada teriyaki gyudon  es lemon? mau 1 porsi harga 7k,teriyaki gyudon  es lemon,1,7000,7000
pesan ifu mie sapi lada hitam 3 rp16500,ifu mie sapi lada hitam,3,16500,49500
WKWK BELI NASI AYAM MERCON DULU 2 PORCY RP46500,nasi ayam mercon,2,46500,93000
Beli 2 blueberry yoghurt 22 ribu,blueberry yoghurt,2,22000,44000
"Mau sepuluh panas special spicy medium, 11000 rb kan?",panas special spicy medium,10,11000,110000
lima porsi raspberry tea aja kak harga rp 25000,raspberry tea,5,25000,125000
BTW TOLONG PESANIN SEPULUH EGG PUDDING DONG RP40000,egg pudding,10,40000,400000
"BTW PESEN 10 PORSI CHURROS TOPPING ICE CREAM KAK, TOTAL 500K",churros topping ice cream,10,50000,500000
Ygy lima kekean aja kak harga rp34000,kekean,5,34000,170000
"PESEN SEPORSI TEH THAILAND KAK, TOTAL 22500",teh thailand,1,22500,22500
halo kak mau beli 2 makan berdua ox tongue dabu harganya rp17000,makan berdua ox tongue dabu,2,17000,34000
LIMA SENSOJI BERAPA KAK?,sensoji,5,18500,92500
Fyi sepuluh hainan rice barbeque chicken aja kak harga 27k,hainan rice barbeque chicken,10,27500,275000
kak minta 2 biji ubi thailand ya hrga 16000,ubi thailand,2,16000,32000
Fyi pesan indomie jumbo sebanyak tiga porsi harga harga 15k,indomie jumbo,3,15500,46500
KAK MINTA EMPAT NASI AYAM GORENG ABANG YA HARGA 31500,nasi ayam goreng abang,4,31500,126000
MAU DNGG DUA JUICE SEMANGKA HARGA HARGANYA 36000,juice semangka,2,36000,72000
