input_text,product,quantity,price_satuan,pattern
mau 3 cutleries set dong kak [SEP] siap cutleries set 40rb totalnya rp120rb kak,cutleries set,3,40000,2
kak bisa pesan 7 cheesy chicken popcorn kak [SEP] oke kak cheesy chicken popcorn harganya 33k totalnya 231.000,cheesy chicken popcorn,7,33000,1
boleh pesan 9 nasi goreng kampung cabe rawit ya [SEP] baik kak nasi goreng kampung cabe rawit rp 15.000 satuan totalnya 135 ribu,nasi goreng kampung cabe rawit,9,15000,1
boleh request 2 nasi bandeng presto nih [SEP] baik kak nasi bandeng presto 49rb satuan totalnya 98k,nasi bandeng presto,2,49000,3
minta 7 spicy mayo chicken rice dong [SEP] noted kak ditunggu ya,spicy mayo chicken rice,7,-1,3
kak mau order 5 mozzarella chicken burger nih [SEP] mozzarella chicken burger 18 rebu ya kak jadi 90rb,mozzarella chicken burger,5,18000,3
7 teh susu telur ya kak [SEP] oke siap kak,teh susu telur,7,-1,2
pesan 3 indomie goreng telur ya [SEP] siap indomie goreng telur rp8rb totalnya 24.000 kak,indomie goreng telur,3,8000,1
beli 7 ropang coklat susu ya kak [SEP] oke ropang coklat susu harga rp52rb total rp 364.000 ya kak,ropang coklat susu,7,52000,2
pesan 4 mie kuah biasa,mie kuah biasa,4,-1,2
bg bisa pesan 2 soto reog nasi dong [SEP] oke kak soto reog nasi harganya 3k totalnya rp 6.000,soto reog nasi,2,3000,1
pesan 8 teh bos ya kak [SEP] oke kak teh bos harganya 9 ribu totalnya 72.000,teh bos,8,9000,1
pesan 6 iced cafe latte jelly dong kak [SEP] oke noted,iced cafe latte jelly,6,-1,3
1 mie ayam jamur telur ya kak [SEP] oke siap kak,mie ayam jamur telur,1,-1,3
min 6 caf latte vanila ya kak [SEP] siap kak caf latte vanila rp 24.000 per porsi total rp144rb ya,caf latte vanila,6,24000,1
pesan 5 nasi wader pe dong kak [SEP] nasi wader pe rp 55.000 ya kak jadi rp275rb,nasi wader pe,5,55000,2
bg bisa pesan 10 terong goreng tepung nih [SEP] noted kak terong goreng tepung rp59rb per porsi totalnya 590.000,terong goreng tepung,10,59000,1
beli 8 nasi manyung wader ya kak [SEP] noted kak nasi manyung wader 50 ribu per porsi totalnya 400 ribu,nasi manyung wader,8,50000,1
minta 2 pempek ya [SEP] pempek rp26rb ya kak jadi rp 52.000,pempek,2,26000,1
8 nasi ayam saos padang kak [SEP] baik kak nasi ayam saos pdng 52 ribu satuan totalnya 416rb,nasi ayam saos padang,8,52000,3
min bisa pesan 5 kwetiaw goreng kalimantan ya [SEP] oke kak kwetiaw goreng kalimantan harganya rp67rb totalnya rp335rb,kwetiaw goreng kalimantan,5,67000,2
pesen 2 nasi wader pe [SEP] nasi wader pe 13 ribu ya kak jadi rp 26.000,nasi wader pe,2,13000,3
3 thai spicy manggo salad ya kak [SEP] oke kak thai spicy manggo salad harganya rp10rb totalnya 30.000,thai spicy manggo salad,3,10000,1
kak mau pesen 10 telur ayam kampung ya kak [SEP] siap kak,telur ayam kampung,10,-1,2
8 seblak mie cuanki ya kak [SEP] oke seblak mie cuanki harga 66 ribu total 528 ribu ya kak,seblak mie cuanki,8,66000,2
8 double jus naga kak [SEP] siap kak double jus naga 63rb per porsi total 504k ya,double jus naga,8,63000,1
kk 9 nasi goreng nugget ya kak [SEP] baik kak nasi goreng nugget rp49rb satuan totalnya 441 rbu,nasi goreng nugget,9,49000,3
minta 5 nasi tumis paru telur ya kak [SEP] oke kak pesanannya masuk ya,nasi tumis paru telur,5,-1,3
pesan 7 ayam saos padang ya kak [SEP] siap kak ayam saos padang 62k per porsi ttl 434k ya,ayam saos padang,7,62000,3
kak mau order 3 bakso daging maju mapan kombinasi ya kak [SEP] oke kak bakso daging maju mapan kombinasi harganya 35.000 totalnya rp 105.000,bakso daging maju mapan kombinasi,3,35000,2
kak mau pesen 2 honey garlic chicken rice mcd ya [SEP] honey garlic chicken rice mcd 52k ya kak jadi 104rb,honey garlic chicken rice mcd,2,52000,1
kak mau pesen 4 choco taro ya kak [SEP] noted kak ditunggu ya,choco taro,4,-1,3
kak mau order 6 keju susu kak [SEP] oke kak keju susu harganya 43.000 totalnya 258.000,keju susu,6,43000,2
9 mie seblak refftwo dong [SEP] baik kak mie seblak refftwo 19k satuan totalnya rp171rb,mie seblak refftwo,9,19000,2
minta 4 mie gobyoss pentol ikan [SEP] baik kak mie gobyoss pentol ikan rp 5.000 satuan totalnya rp 20.000,mie gobyoss pentol ikan,4,5000,1
kak mau pesen 2 teh sosro kak [SEP] oke siap kak,teh sosro,2,-1,2
kak mau pesen 7 burger ayam geprek [SEP] siap kak burger ayam geprek rp32rb per porsi total 224 ribu ya,burger ayam geprek,7,32000,2
kak mau order 6 kebab ayam premium dong kak [SEP] baik kak kebab ayam premium 67 ribu satuan totalnya 402k,kebab ayam premium,6,67000,3
boleh pesan 7 mantau chicken oat dong [SEP] siap mantau chicken oat 47k totalnya 329 ribu kak,mantau chicken oat,7,47000,2
bang 4 nasi empal kak [SEP] nasi empal rp 63.000 ya kak jadi rp 252.000,nasi empal,4,63000,1
1 brownies cappucino marble [SEP] oke siap kak,brownies cappucino marble,1,-1,2
minta 1 terangbulan original biasa keju susu kak [SEP] siap kak,terangbulan original biasa keju susu,1,-1,2
minta 7 cheesy chicken set ya [SEP] oke kak cheesy chicken set harganya 41.000 totalnya 287rb,cheesy chicken set,7,41000,1
kak mau order 9 french fries mayo bbq [SEP] french fries mayo bbq 62 ribu ya kak jadi rp 558.000,french fries mayo bbq,9,62000,2
kak mau pesen 3 siomay sehat dong,siomay sehat,3,-1,1
pesan 8 chicken snack wrap ya kak,chicken snack wrap,8,-1,1
mnt 10 ayam saos dong [SEP] noted kak ayam saos 67rb per porsi totalnya 670k,ayam saos,10,67000,3
kak mau order 3 nasi wader nih [SEP] siap kak nasi wader 44 ribu per porsi total 132rb ya,nasi wader,3,44000,2
beli 5 chicken ramen [SEP] siapp chicken ramen rp49rb totalnya 245.000 kak,chicken ramen,5,49000,3
kak mau order 5 nasi ayam [SEP] nasi ayam 30k ya kak jadi 150rb,nasi ayam,5,30000,1
minta 1 japanese matcha regular dong kak [SEP] oke siap kak,japanese matcha regular,1,-1,1
mau 5 chicken katsu mentai bento [SEP] chicken katsu mentai bento 34.000 ya kak jadi 170 rb,chicken katsu mentai bento,5,34000,3
bu 3 nasi goreng singapore kak [SEP] oke kak nasi goreng singapore harganya rp 50.000 totalnya 150k,nasi goreng singapore,3,50000,1
10 mie hun goreng daging nih [SEP] noted kak mie hun goreng daging 35.000 per porsi totalnya 350.000,mie hun goreng daging,10,35000,3
beli 10 complete chicken teriyaki bento nih [SEP] oke kak complete chicken teriyaki bento harganya 54 ribu totalnya rp540rb,complete chicken teriyaki bento,10,54000,2
bg 9 thailand drink ya [SEP] oke kak thailand drink harganya rp13rb totalnya 117k,thailand drink,9,13000,2
pesan 8 double cheese chicken burger dong [SEP] baik kak,double cheese chicken burger,8,-1,2
pesan 3 nasi goreng vegetarian nih [SEP] nasi goreng vegetarian 53k ya kak jadi 159 ribu,nasi goreng vegetarian,3,53000,3
pesan 4 nasi goreng xo dong [SEP] siap kak nasi goreng xo 47rb per porsi total rp188rb ya,nasi goreng xo,4,47000,1
5 es kopi baileys ya [SEP] baik kak es kopi baileys 4 ribu satuan totalnya 20rb,es kopi baileys,5,4000,1
bg 1 pangsit ayam,pangsit ayam,1,-1,3
minta 10 crepes naget,crepes naget,10,-1,3
5 teh madu kurma [SEP] baik kak teh madu kurma rp64rb satuan totalnya 320 ribu,teh madu kurma,5,64000,1
3 nasi sop daging [SEP] oke kak pesanannya masuk ya,nasi sop daging,3,-1,1
mau 6 nasi pecel udang goreng kak [SEP] noted kak nasi pecel udang goreng 4 ribu per porsi totalnya 24k,nasi pecel udang goreng,6,4000,1
boleh pesan 4 susu vanilla non coffee dong [SEP] siap kak susu vanilla non coffee 8rb per porsi total rp32rb ya,susu vanilla non coffee,4,8000,1
beli 5 cireng punel kak [SEP] oke cireng punel harga 62.000 total rp310rb ya kak,cireng punel,5,62000,2
beli 9 kerang batik [SEP] noted kak kerang batik 43k per porsi totalnya rp 387.000,kerang batik,9,43000,2
